"순 이름 팀 정렬
G
타석
11 고종욱 19SLF 2.28 137 513 492 76 159 25 7 3 207 56 31 10 18 1 1 89 5 .347 .421 .768 .353 115.7 2.28 1.73
12 한유섬 19SRF 2.13 125 502 427 52 113 20 0 12 169 52 0 1 55 20 4 100 6 .375 .396 .770 .361 117.2 2.13 0.83
13 김강민 18SCF 1.71 80 267 235 40 70 14 0 14 126 46 10 6 22 5 0 57 1 .370 .536 .906 .381 119.1 1.71 -0.02
14 정의윤 19SDH 1.71 110 419 380 44 107 24 0 13 170 59 0 0 30 6 1 60 9 .342 .447 .790 .359 116.1 1.71 0.47
15 김강민 19SCF 1.65 127 460 422 54 114 14 2 8 156 50 15 8 31 4 3 103 2 .324 .370 .694 .321 90.9 1.65 -0.67
16 최항 18S2B 1.37 98 257 222 38 65 12 1 7 100 35 2 2 25 8 0 57 1 .384 .450 .835 .370 113.0 1.37 0.05
17 한유섬 20SRF 1.31 62 231 193 35 48 5 0 15 98 31 2 0 30 6 1 49 8 .364 .508 .871 .383 121.2 1.31 0.56
18 나주환 18SSS 0.98 119 420 362 54 95 24 0 12 155 56 5 6 38 5 0 66 2 13 .339 .428 .767 .328 85.9 0.98 0.65
19 김강민 20SCF 0.93 122 327 289 39 73 11 1 12 122 45 7 5 27 4 2 62 10 .323 .422 .745 .329 88.0 0.93 0.17
20 오태곤 20SLF 0.89 54 203 184 29 53 11 0 5 79 30 14 6 12 3 0 31 4 .342 .429 .771 .345 99.2 0.89 0.07
"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
WAR*
WPA"
"WAR*
출루
장타
OPS
wOBA
wRC+"
21 채태인 20SDH 0.85 71 189 160 11 45 5 0 7 71 24 0 0 29 0 2 33 4 .392 .444 .835 .380 121.5 0.85 -0.39
22 김성현 18S2B 0.77 135 462 415 51 115 19 1 4 148 55 6 2 29 9 0 42 19 .336 .357 .692 .312 75.6 0.77 -0.24
23 최항 20S2B 0.62 47 155 132 21 35 3 0 2 44 15 1 0 21 1 1 27 3 .368 .333 .701 .334 92.9 0.62 -0.09
24 노수광 19SLF 0.58 117 445 388 69 97 16 1 2 121 28 27 10 46 2 0 68 1 .333 .312 .644 .304 81.0 0.58 0.92
25 강승호 18S2B 0.55 37 103 90 10 29 6 0 2 41 21 0 0 9 1 0 27 1 .390 .456 .846 .367 111.4 0.55 0.20
26 박승욱 18SSS 0.53 51 79 65 11 20 3 0 0 23 9 4 1 10 2 0 16 1 .416 .354 .769 .356 105.0 0.53 0.05
27 김성현 19SSS 0.52 144 472 426 45 105 16 2 1 128 34 6 2 33 2 0 43 15 .302 .300 .602 .282 66.2 0.52 -1.99
28 김성현 20SSS 0.50 133 392 343 34 93 9 1 2 110 25 1 1 30 5 0 27 10 11 .336 .321 .657 .304 73.9 0.50 -1.33
29 최지훈 20SRF 0.39 127 520 466 66 120 19 5 1 152 27 18 6 38 5 0 80 4 .318 .326 .645 .299 71.5 0.39 -2.51
30 김재현 18SLF 0.33 53 77 65 19 18 1 1 1 24 5 7 1 9 3 0 17 0 .390 .369 .759 .353 102.6 0.33 0.68
"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
WAR*
WPA"
"WAR*
출루
장타
OPS
wOBA
wRC+"
31 정의윤 18SDH 0.26 73 239 217 27 59 9 0 11 101 38 1 1 19 2 1 29 8 .335 .465 .800 .345 94.9 0.26 0.14
32 박성한 20SSS 0.24 41 112 99 7 24 2 0 2 32 8 1 1 11 1 0 21 1 .324 .323 .648 .305 73.3 0.24 -0.59
33 최항 19S2B 0.20 52 147 127 12 29 5 0 0 34 14 2 0 16 2 0 24 3 .322 .268 .590 .288 70.1 0.20 -1.09
34 노수광 20SCF 0.15 29 83 75 13 20 2 2 1 29 5 2 4 7 0 0 16 0 .329 .387 .716 .325 88.9 0.15 -0.00
35 최승준 18SDH 0.03 27 79 72 5 18 3 0 4 33 11 0 0 6 1 0 25 3 .317 .458 .775 .334 87.4 0.03 0.60
36 김창평 20S2B 0.02 35 90 78 10 15 4 1 0 21 7 7 0 11 0 0 16 2 .289 .269 .558 .269 52.2 0.02 0.26
37 고종욱 20SLF 0.02 92 288 272 24 77 9 3 3 101 26 1 3 14 1 0 55 3 .319 .371 .691 .319 83.6 0.02 -0.46
38 김동엽 18SLF -0.06 124 446 421 58 106 15 0 27 202 76 11 2 17 4 0 108 13 .285 .480 .765 .321 77.8 -0.06 0.16
39 오준혁 20SLF -0.10 70 161 148 19 40 7 0 3 56 18 0 3 11 1 1 34 1 .323 .378 .701 .320 83.6 -0.10 0.08
40 배영섭 19SLF -0.11 30 80 71 5 16 1 0 0 17 7 2 0 6 2 0 15 0 .300 .239 .539 .267 54.8 -0.11 0.40
"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
WAR*
WPA"
"WAR*
출루
장타
OPS
wOBA
wRC+"
41 이흥련 20SC -0.12 47 130 124 6 30 1 0 3 40 19 0 0 6 0 0 28 5 .277 .323 .600 .278 54.8 -0.12 -0.35
42 최준우 20S2B -0.18 66 207 182 23 43 4 0 3 56 14 1 1 19 0 0 28 3 .307 .308 .615 .285 60.2 -0.18 -0.59
43 이성우 18SC -0.18 88 134 120 10 29 5 0 0 34 5 1 0 8 1 0 16 4 .292 .283 .576 .260 41.7 -0.18 -1.03
44 김경호 20SLF -0.21 56 110 105 17 30 3 1 0 35 9 1 4 3 0 0 16 2 .303 .333 .636 .292 67.1 -0.21 -0.88
45 정진기 20SRF -0.22 50 140 126 14 30 2 2 2 42 15 7 1 7 1 1 34 2 .279 .333 .613 .270 51.1 -0.22 -0.03
46 김창평 19S2B -0.22 18 53 45 4 8 2 0 0 10 3 0 0 4 1 0 11 1 .260 .222 .482 .225 27.4 -0.22 -0.49
47 안상현 19S2B -0.28 65 108 102 14 24 3 0 0 27 5 7 3 4 0 0 28 3 .262 .265 .526 .247 42.0 -0.28 -0.12
48 남태혁 20SDH -0.36 35 72 66 3 13 1 0 1 17 11 0 0 6 0 0 22 2 .264 .258 .522 .250 37.4 -0.36 -0.38
49 이현석 20SC -0.37 58 109 101 7 18 2 0 2 26 7 1 0 4 2 0 30 4 .224 .257 .482 .222 18.1 -0.37 -0.55
